key,x,y
00B024,631.8299,4674.864
00B025,632.217,4675.0778
00B026,632.1253,4674.8411
00B027,632.0578,4674.6146
00B028,631.6895,4676.2592
00B029,632.1163,4678.4944
00B030,632.1016,4678.5237
00B031,632.2265,4678.483
00B032,632.7521,4674.6517
00B033,632.863,4674.3736
00B034,632.8337,4674.2658
00B035,632.7007,4674.3363
00B036,632.4728,4674.4986
00B037,632.5151,4674.5943
00B038,632.9255,4674.3565
00B039,632.984,4674.6628
00B040,631.9355,4676.8027
00B041,632.5182,4678.3926
00B042,633.0479,4675.1516
00B043,633.2211,4675.1889
00B044,634.1042,4675.1421
00B045,634.6146,4675.4504
00B046,634.6602,4675.3661
00B047,634.1839,4675.4148
00B048,634.0129,4675.3177
00B049,633.9272,4675.4846
00B050,633.8495,4675.5166
00B051,633.6683,4675.6323
00B052,633.6135,4675.649
00B053,633.4612,4675.7784
00B054,633.2571,4676.171
00B055,633.3789,4676.1162
00B056,633.4642,4675.964
00B057,633.6074,4675.8332
00B058,633.6546,4675.9275
00B059,633.746,4676.0234
00B060,633.615,4676.0599
00B061,633.7049,4676.1269
00B062,633.2997,4676.0234
00B064,634.6691,4676.0146
00B065,634.7858,4675.9908
00B066,634.2895,4676.3188
00B067,634.7403,4676.3386
00B068,634.7383,4676.2121
00B069,634.245,4676.6391
00B070,634.215,4676.5532
00B071,633.1375,4677.052
00B072,632.5708,4680.5494
00B073,632.4377,4680.3965
00B074,632.3464,4680.4137
00B075,632.256,4680.391
00B076,632.1422,4680.3821
00B077,632.1413,4680.2767
00B078,631.8753,4680.2763
00B079,631.7347,4680.2672
00B080,631.7695,4680.1766
00B081,632.2356,4680.8616
00B082,632.6716,4680.624
00B083,632.5582,4680.5973
00B084,632.6144,4680.69
00B085,632.1191,4680.8037
00B086,632.0507,4680.7315
00B087,632.2952,4680.6998
00B088,632.2759,4680.6802
00B089,632.3505,4680.6087
00B090,632.1547,4680.5638
00B091,632.0407,4680.5208
00B092,631.8265,4680.5041
00B093,631.9199,4681.0873
00B094,631.7297,4680.6163
00B095,631.6312,4680.5313
00B096,631.6173,4680.4815
00B097,631.6152,4680.4123
00B098,631.639,4680.3373
00B099,631.6039,4680.2361
00B100,631.5213,4680.3201
00B101,631.4399,4680.4182
00B102,631.4335,4680.5052
00B103,631.455,4680.2206
00B104,631.5041,4680.1214
00B105,631.268,4680.1575
00B106,631.1604,4680.0179
00B107,632.0415,4682.0199
00B108,631.2667,4682.0317
00B109,632.5614,4680.792
00B110,632.6572,4680.7603
00B111,632.5184,4680.869
00B112,632.4829,4680.9431
00B113,632.4546,4681.0555
00B114,632.3226,4681.1046
00B115,632.2148,4681.2427
00B116,632.8104,4680.3971
00B117,632.8067,4680.7068
00B118,632.8244,4680.7575
00B119,632.9796,4680.7827
00B120,633.0841,4680.8653
00B121,633.2854,4681.0698
00B122,633.3675,4681.0104
00B123,633.3889,4681.0987
00B124,633.3329,4681.1816
00B125,633.1643,4681.2048
00B126,633.1453,4681.116
00B127,632.9576,4681.0196
00B128,632.8066,4680.9371
00B129,632.9423,4681.1191
00B130,633.0621,4681.3293
00B131,632.9511,4681.4902
00B132,632.7782,4681.4401
00B133,632.6649,4681.4519
00B134,632.6016,4681.8443
00B135,632.8767,4681.6486
00B136,632.9533,4681.8577
00B137,633.318,4681.6589
00B138,633.2872,4681.7088
00B139,633.322,4681.5927
00B140,633.3021,4681.8032
00B141,633.5928,4681.7142
00B142,633.5979,4681.6677
00B143,633.5811,4681.7663
00B144,633.524,4681.8151
00B145,633.4547,4681.9422
00B146,633.4531,4682.0433
00B147,633.6251,4681.9943
00B148,633.8283,4682.2306
00B149,633.8804,4682.2184
00B150,633.6235,4681.8816
00B151,633.7861,4681.849
00B152,633.6664,4681.8001
00B153,633.7637,4681.7145
00B154,633.8593,4681.7753
00B155,633.5695,4681.0233
00B156,633.631,4681.0677
00B157,633.679,4681.119
00B158,631.197,4683.064
00B159,630.8793,4682.7887
00B160,630.8658,4682.8521
00B161,632.2646,4684.3388
00B162,632.2075,4684.3077
00B163,632.1105,4684.3537
00B164,630.8543,4684.141
00B165,630.8151,4684.2061
00B166,630.6835,4683.4707
00B167,631.2289,4683.8438
00B168,630.7254,4680.0611
